YEAR  youth  mid   old
2010 15.65 73.61 10.74
2011 15.08 74.04 10.89
2012 14.63 74.22 11.15
2013 14.32 74.15 11.53
2014 13.99 74.03 11.99
2015 13.57 73.92 12.51
2016 13.35 73.46 13.20
2017 13.12 73.02 13.86
2018 12.92 72.52 14.56
2019 12.75 71.96 15.28
2020 12.58 71.35 16.07
2021 12.36 70.79 16.85
2022 12.10 70.30 17.50
2023 12.00 69.60 18.40
2024 12.00 68.80 19.20
2025 11.90 68.10 20.00
2026 11.70 67.40 20.80
2027 11.40 67.00 21.70
2028 11.20 66.30 22.50
2029 10.90 65.80 23.30
2030 10.60 65.30 24.10
